question,ground_truth
"Apa pidana bagi orang yang menghina Pancasila? Apa bisa dikatakan menghina lambang Negara?","Tindak pidana terkait penolakan atau penggantian Pancasila sebagai dasar negara diatur dalam Pasal 190 Kitab Undang-Undang Hukum Pidana (KUHP). Berdasarkan Pasal 190 ayat (1) KUHP, setiap orang yang menyatakan keinginannya di muka umum dengan lisan, tulisan, atau melalui media apa pun untuk meniadakan atau mengganti Pancasila sebagai dasar negara dipidana dengan pidana penjara paling lama 5 tahun."
"Saya mau bertanya apakah ada hukum yang dapat menjerat pelaku penyiksaan terhadap hewan?","Tindak pidana penganiayaan terhadap hewan diatur dalam Pasal 337 Kitab Undang-Undang Hukum Pidana (KUHP). Berdasarkan Pasal 337 ayat (1) KUHP, setiap orang yang menyakiti atau melukai hewan atau merugikan kesehatannya dengan melampaui batas atau tanpa tujuan yang patut, serta setiap orang yang melakukan hubungan seksual dengan hewan, dipidana dengan pidana penjara paling lama 1 tahun atau pidana denda paling banyak kategori II (Rp10 juta). Apabila perbuatan tersebut mengakibatkan hewan sakit lebih dari 1 minggu, mengalami luka berat, atau mati, maka berdasarkan Pasal 337 ayat (2) KUHP, pelaku diancam dengan pidana penjara paling lama 1 tahun 6 bulan atau pidana denda paling banyak kategori III (Rp50 juta)."
"Dalam KUHP baru, orang yang melakukan aborsi terhadap perempuan diatur dalam pasal berapa?","Tindak pidana aborsi terhadap perempuan diatur dalam Pasal 464 Kitab Undang-Undang Hukum Pidana (KUHP). Berdasarkan Pasal 464 ayat (1) KUHP, setiap orang yang melakukan aborsi terhadap seorang perempuan dengan persetujuan perempuan tersebut dipidana dengan pidana penjara paling lama 5 tahun, sedangkan jika tanpa persetujuan perempuan tersebut dipidana dengan pidana penjara paling lama 12 tahun. Apabila perbuatan tanpa persetujuan tersebut mengakibatkan matinya perempuan tersebut, berdasarkan Pasal 464 ayat (3) KUHP pelaku diancam dengan pidana penjara paling lama 15 tahun."
"Penumpang yang secara lisan bercanda bawa bom tersebut diturunkan dari pesawat. Pertanyaan saya, kenapa tidak boleh bercanda bawa bom di pesawat? Apakah perbuatan tersebut masuk tindakan teror?","Perbuatan yang membahayakan keselamatan penerbangan diatur dalam Pasal 577 Kitab Undang-Undang Hukum Pidana (KUHP). Berdasarkan Pasal 577 ayat (2) KUHP, jika perbuatan tersebut menimbulkan bahaya bagi keamanan penerbangan, pelaku dipidana dengan pidana penjara paling lama 9 tahun."
"Saya penasaran, kalau menuduh orang mencuri tanpa bukti kena pasal berapa? Apakah bisa ia dikenakan pasal menuduh orang tanpa bukti?","Tindak pidana pencemaran nama baik diatur dalam Pasal 433 KUHP. Menurut Pasal 433 ayat (1) KUHP, menyerang kehormatan seseorang secara lisan dengan menuduhkan suatu hal diancam pidana penjara paling lama 9 bulan. Menurut Pasal 433 ayat (2) KUHP, jika tuduhan tersebut dilakukan secara tertulis disebarkan di tempat umum diancam pidana penjara paling lama 1 tahun 6 bulan."
"Hukuman Maksimal bagi Pelaku Judi Bola Online","Tindak pidana perjudian diatur dalam Pasal 426 Kitab Undang-Undang Hukum Pidana (KUHP). Berdasarkan Pasal 426 ayat (1) KUHP, setiap orang yang tanpa izin menawarkan atau memberi kesempatan untuk main judi dan menjadikannya sebagai mata pencaharian, turut serta dalam perusahaan perjudian, atau menawarkan kesempatan bermain judi kepada umum diancam dengan pidana penjara paling lama 9 tahun atau pidana denda paling banyak kategori VI (Rp2 miliar). Jika tindak pidana tersebut dilakukan dalam menjalankan profesi, Pasal 426 ayat (2) KUHP menetapkan bahwa pelaku dapat dijatuhi pidana tambahan berupa pencabutan hak sebagaimana dimaksud dalam Pasal 86 huruf f KUHP."
"Larangan Perdagangan Organ, Jaringan Tubuh, dan Darah Manusia","Larangan memperjualbelikan organ, jaringan tubuh, dan darah manusia diatur dalam Pasal 345 Kitab Undang-Undang Hukum Pidana (KUHP). Berdasarkan ketentuan tersebut, setiap orang yang dengan alasan apa pun memperjualbelikan organ atau jaringan tubuh manusia dipidana dengan pidana penjara paling lama 7 tahun atau pidana denda paling banyak kategori VI. Sedangkan perbuatan memperjualbelikan darah manusia dipidana dengan pidana penjara paling lama 3 tahun atau pidana denda paling banyak kategori IV."
"Apakah penyebaran hoax termasuk tindak pidana?","Tindak pidana penyiaran atau penyebaran berita bohong diatur dalam Pasal 263 Kitab Undang-Undang Hukum Pidana (KUHP). Berdasarkan Pasal 263 ayat (1) KUHP, setiap orang yang menyiarkan atau menyebarluaskan berita bohong yang diketahuinya bohong dan mengakibatkan kerusuhan di masyarakat dipidana dengan pidana penjara paling lama 6 tahun."
"Apakah pelaku pemerkosa hewan atau bestiality dapat dihukum berdasarkan Pasal 337?","Tindak pidana pemerkosaan hewan atau bestiality diatur dalam Pasal 337 KUHP tentang penganiayaan hewan. Menurut Pasal 337 ayat (1) huruf b KUHP, melakukan hubungan seksual dengan hewan dipidana penjara paling lama 1 tahun. Menurut Pasal 337 ayat (2) KUHP, jika menyebabkan hewan sakit lebih dari 1 minggu, cacat, atau mati, pelaku diancam pidana penjara paling lama 1 tahun 6 bulan."
"Benarkah pelaku pemalsuan uang dan uang kertas bisa dijerat pidana berdasarkan Pasal 374, Jika benar, apa bunyi pasal pemalsuan uang tersebut?","Tindak pidana pemalsuan uang diatur dalam Pasal 374 KUHP. Setiap orang yang memalsu mata uang atau uang kertas negara untuk diedarkan sebagai uang asli dipidana dengan pidana penjara paling lama 10 tahun atau denda kategori VII."
